personal_id,report_month,status_code,latest_submission_date
20000421-1234,2025-09,200,2025-09-24
20000421-1234,2025-10,200,2025-10-21
20000421-1234,2025-11,200,2025-11-22
20000421-1234,2025-12,200,2025-12-27
19910116-2824,2025-09,500,
19910116-2824,2025-10,200,2025-10-24
19910116-2824,2025-11,501,
19670118-4657,2025-09,200,2025-09-24
19670118-4657,2025-10,200,2025-10-25
19670118-4657,2025-11,200,2025-11-29
19670118-4657,2025-12,200,2025-12-24
19670118-4657,2026-01,501,
19670118-4657,2026-02,501,
19640710-9935,2025-09,200,2025-09-28
19640710-9935,2025-10,501,
19640710-9935,2025-11,501,
19710709-1488,2025-07,200,2025-07-22
19710709-1488,2025-08,200,2025-08-21
19710709-1488,2025-09,501,
19950518-3547,2025-01,501,
19950518-3547,2025-02,501,
19950518-3547,2025-03,200,2025-03-21
19950518-3547,2025-04,200,2025-04-27
19640218-2674,2025-01,500,
19640218-2674,2025-02,200,2025-03-01
19640218-2674,2025-03,200,2025-03-29
19640218-2674,2025-04,500,
19640218-2674,2025-05,200,2025-05-29
19780806-7201,2025-07,200,2025-07-21
19780806-7201,2025-08,200,2025-08-20
19780806-7201,2025-09,500,
19780806-7201,2025-10,200,2025-10-23
19780806-7201,2025-11,200,2025-11-24
19780806-7201,2025-12,200,2025-12-29
20041007-7227,2025-04,501,
20041007-7227,2025-05,200,2025-05-23
20041007-7227,2025-06,501,
20041007-7227,2025-07,500,
20041007-7227,2025-08,200,2025-08-25
20041007-7227,2025-09,500,
19970325-6977,2025-09,200,2025-09-24
19970325-6977,2025-10,500,
19970325-6977,2025-11,200,2025-11-23
20040331-5010,2025-07,200,2025-07-26
20040331-5010,2025-08,200,2025-08-25
20040331-5010,2025-09,200,2025-09-20
20040331-5010,2025-10,200,2025-10-21
20030612-1916,2025-01,200,2025-01-24
20030612-1916,2025-02,200,2025-02-21
20030612-1916,2025-03,200,2025-03-19
20030612-1916,2025-04,200,2025-04-19
19650812-6155,2025-01,501,
19650812-6155,2025-02,200,2025-02-22
19650812-6155,2025-03,500,
19650812-6155,2025-04,200,2025-04-27
19630526-8517,2025-09,501,
19630526-8517,2025-10,200,2025-10-28
19630526-8517,2025-11,500,
19720601-9830,2025-09,501,
19720601-9830,2025-10,200,2025-10-21
19720601-9830,2025-11,501,
19941211-7543,2025-01,500,
19941211-7543,2025-02,501,
19941211-7543,2025-03,200,2025-03-24
19941211-7543,2025-04,500,
19780419-2040,2025-04,200,2025-04-29
19780419-2040,2025-05,501,
19780419-2040,2025-06,500,
19780419-2040,2025-07,200,2025-07-20
19640217-6573,2025-09,200,2025-09-19
19640217-6573,2025-10,501,
19640217-6573,2025-11,200,2025-11-26
19851202-8433,2025-09,200,2025-09-22
19851202-8433,2025-10,200,2025-10-29
19851202-8433,2025-11,200,2025-11-24
19851202-8433,2025-12,200,2025-12-20
19660227-4258,2025-09,501,
19660227-4258,2025-10,200,2025-10-29
19660227-4258,2025-11,200,2025-11-29
20050403-6038,2025-01,501,
20050403-6038,2025-02,200,2025-02-19
20050403-6038,2025-03,200,2025-03-23
20050403-6038,2025-04,200,2025-04-23
20050403-6038,2025-05,200,2025-05-28
20050403-6038,2025-06,200,2025-06-24
19791121-2290,2025-01,200,2025-01-27
19791121-2290,2025-02,200,2025-02-28
19791121-2290,2025-03,200,2025-03-19
19791121-2290,2025-04,500,
19910919-3060,2025-04,200,2025-04-27
19910919-3060,2025-05,500,
19910919-3060,2025-06,501,
19981011-3705,2025-01,500,
19981011-3705,2025-02,200,2025-02-25
19981011-3705,2025-03,200,2025-03-29
19981011-3705,2025-04,501,
19981011-3705,2025-05,200,2025-05-29
19981011-3705,2025-06,500,
