personal_id,benefit_type,scope_pct,decision_from,decision_to
20000421-1234,Activity support,100,2025-09-01,2025-12-31
19910116-2824,Activity support,50,2025-09-01,2025-11-30
19670118-4657,Activity support,75,2025-09-01,2026-02-28
19640710-9935,Activity support,100,2025-09-01,2025-11-30
19710709-1488,Activity support,50,2025-07-01,2025-09-29
19950518-3547,Activity support,100,2025-01-01,2025-04-01
19640218-2674,Activity support,50,2025-01-01,2025-05-01
19780806-7201,Activity support,100,2025-07-01,2025-12-28
20041007-7227,Activity support,100,2025-04-01,2025-09-28
19970325-6977,Activity support,100,2025-09-01,2025-11-30
20040331-5010,Activity support,75,2025-07-01,2025-10-29
20030612-1916,Activity support,50,2025-01-01,2025-04-01
19650812-6155,Activity support,100,2025-01-01,2025-04-01
19630526-8517,Activity support,100,2025-09-01,2025-11-30
19720601-9830,Activity support,75,2025-09-01,2025-11-30
19941211-7543,Activity support,100,2025-01-01,2025-04-01
19780419-2040,Activity support,75,2025-04-01,2025-07-30
19640217-6573,Activity support,75,2025-09-01,2025-11-30
19851202-8433,Activity support,75,2025-09-01,2025-12-30
19660227-4258,Activity support,75,2025-09-01,2025-11-30
20050403-6038,Activity support,50,2025-01-01,2025-06-30
19791121-2290,Activity support,50,2025-01-01,2025-04-01
19910919-3060,Activity support,100,2025-04-01,2025-06-30
19981011-3705,Activity support,75,2025-01-01,2025-06-30
