personal_id,registered,category,scope_pct,registered_date,deregistered_date,unemployment_fund
20000421-1234,false,Openly unemployed,100,2025-09-01,2025-12-31,Academics Unemployment Fund
19910116-2824,false,Openly unemployed,50,2025-09-01,2025-11-30,Municipal Workers Unemployment Fund
19670118-4657,false,Other job-seeker category,75,2025-09-01,2026-02-28,
19640710-9935,false,Openly unemployed,100,2025-09-01,2025-11-30,Academics Unemployment Fund
19710709-1488,false,Openly unemployed,50,2025-07-01,2025-09-29,Trade Workers Unemployment Fund
19950518-3547,false,Openly unemployed,100,2025-01-01,2025-04-01,Academics Unemployment Fund
19640218-2674,false,Openly unemployed,50,2025-01-01,2025-05-01,Trade Workers Unemployment Fund
19780806-7201,false,Other job-seeker category,100,2025-07-01,2025-12-28,
20041007-7227,false,Other job-seeker category,100,2025-04-01,2025-09-28,IF Metal Unemployment Fund
19970325-6977,false,Openly unemployed,100,2025-09-01,2025-11-30,IF Metal Unemployment Fund
20040331-5010,false,Other job-seeker category,75,2025-07-01,2025-10-29,Academics Unemployment Fund
20030612-1916,false,Other job-seeker category,50,2025-01-01,2025-04-01,Municipal Workers Unemployment Fund
19650812-6155,false,Openly unemployed,100,2025-01-01,2025-04-01,
19630526-8517,false,Other job-seeker category,100,2025-09-01,2025-11-30,Municipal Workers Unemployment Fund
19720601-9830,false,Openly unemployed,75,2025-09-01,2025-11-30,
19941211-7543,false,Openly unemployed,100,2025-01-01,2025-04-01,Trade Workers Unemployment Fund
19780419-2040,false,Other job-seeker category,75,2025-04-01,2025-07-30,Trade Workers Unemployment Fund
19640217-6573,false,Openly unemployed,75,2025-09-01,2025-11-30,Academics Unemployment Fund
19851202-8433,false,Other job-seeker category,75,2025-09-01,2025-12-30,IF Metal Unemployment Fund
19660227-4258,false,Openly unemployed,75,2025-09-01,2025-11-30,Trade Workers Unemployment Fund
20050403-6038,false,Openly unemployed,50,2025-01-01,2025-06-30,Municipal Workers Unemployment Fund
19791121-2290,false,Other job-seeker category,50,2025-01-01,2025-04-01,
19910919-3060,false,Openly unemployed,100,2025-04-01,2025-06-30,Academics Unemployment Fund
19981011-3705,false,Openly unemployed,75,2025-01-01,2025-06-30,Academics Unemployment Fund
