personal_id,applied_from,applied_to,applied_scope_pct,loan_applied
20000421-1234,20260413,20260627,50,J
19910116-2824,20260421,20260908,50,J
19670118-4657,20260826,20261216,75, 
19710709-1488,20260117,20260606,50,J
19671024-5557,20260127,20260519,100,J
19640218-2674,20260823,20261220,100,J
19780806-7201,20260122,20260416,75, 
19941023-2169,20260424,20260828,75, 
20030612-1916,20260126,20260525,75, 
19661228-6168,20260128,20260617,75, 
19630526-8517,20260818,20261124,75,J
19760904-3266,20260819,20261118,75, 
20020523-1771,20260423,20260709,100,J
19650920-1188,20260121,20260415,50,J
20050403-6038,20260121,20260513,75, 
