personal_id,amount_type_code,amount_type_label,amount_per_week_sek,total_amount_sek
20000421-1234,GRUNDB,Grant,978,10758
20000421-1234,GRUNDL,Loan,721,7931
19910116-2824,GRUNDB,Grant,1051,21012
19910116-2824,GRUNDL,Loan,700,14008
19670118-4657,GRUNDB,Grant,616,9859
19670118-4657,GRUNDL,Loan,411,6573
19710709-1488,GRUNDB,Grant,794,15876
19710709-1488,GRUNDL,Loan,529,10584
19671024-5557,GRUNDB,Grant,1056,16896
19671024-5557,GRUNDL,Loan,704,11264
19640218-2674,GRUNDB,Grant,1018,17309
19640218-2674,GRUNDL,Loan,679,11540
19780806-7201,GRUNDB,Grant,564,6768
19780806-7201,GRUNDL,Loan,376,4512
19941023-2169,GRUNDB,Grant,1007,18133
19941023-2169,GRUNDL,Loan,672,12089
20030612-1916,GRUNDB,Grant,1126,19135
20030612-1916,GRUNDL,Loan,750,12757
19661228-6168,GRUNDB,Grant,547,10944
19661228-6168,GRUNDL,Loan,365,7296
19630526-8517,GRUNDB,Grant,972,13608
19630526-8517,GRUNDL,Loan,648,9072
19760904-3266,GRUNDB,Grant,907,11786
19760904-3266,GRUNDL,Loan,604,7857
20020523-1771,GRUNDB,Grant,1019,11207
20020523-1771,GRUNDL,Loan,679,7471
19650920-1188,GRUNDB,Grant,1055,12658
19650920-1188,GRUNDL,Loan,703,8438
20050403-6038,GRUNDB,Grant,811,12970
20050403-6038,GRUNDL,Loan,540,8646
