personal_id,start_week,end_week,study_pace_pct,total_amount_sek
20000421-1234,202617,202627,50,18689
19910116-2824,202617,202637,50,35020
19670118-4657,202635,202651,75,16432
19710709-1488,202603,202623,50,26460
19671024-5557,202605,202621,100,28160
19640218-2674,202634,202651,100,28849
19780806-7201,202604,202616,75,11280
19941023-2169,202617,202635,75,30222
20030612-1916,202605,202622,75,31892
19661228-6168,202605,202625,75,18240
19630526-8517,202634,202648,75,22680
19760904-3266,202634,202647,75,19643
20020523-1771,202617,202628,100,18678
19650920-1188,202604,202616,50,21096
20050403-6038,202604,202620,75,21616
