personal_id,support_type,support_form_code,support_form_description,case_status
20000421-1234,student_grant,GRUND,Student finance for studies in Sweden,Initiated
19910116-2824,student_grant,GRUND,Student finance for studies in Sweden,Initiated
19670118-4657,student_grant,GRUND,Student finance for studies in Sweden,Initiated
19710709-1488,student_grant,GRUND,Student finance for studies in Sweden,Initiated
19671024-5557,student_grant,GRUND,Student finance for studies in Sweden,Initiated
19640218-2674,student_grant,GRUND,Student finance for studies in Sweden,Initiated
19780806-7201,student_grant,GRUND,Student finance for studies in Sweden,Initiated
19941023-2169,student_grant,GRUND,Student finance for studies in Sweden,Initiated
20030612-1916,student_grant,GRUND,Student finance for studies in Sweden,Initiated
19661228-6168,student_grant,GRUND,Student finance for studies in Sweden,Initiated
19630526-8517,student_grant,GRUND,Student finance for studies in Sweden,Initiated
19760904-3266,student_grant,GRUND,Student finance for studies in Sweden,Initiated
20020523-1771,student_grant,GRUND,Student finance for studies in Sweden,Initiated
19650920-1188,student_grant,GRUND,Student finance for studies in Sweden,Initiated
20050403-6038,student_grant,GRUND,Student finance for studies in Sweden,Initiated
