personal_id,case_id,measure_code,measure_description
20000421-1234,-AS-20250000,123,Job and development guarantee phase 1
19910116-2824,-AS-20250001,123,Job and development guarantee phase 1
19670118-4657,-AS-20250002,130,Rehabilitation programme
19640710-9935,-AS-20250003,123,Job and development guarantee phase 1
19710709-1488,-AS-20250004,124,Job and development guarantee phase 2
19950518-3547,-AS-20250005,123,Job and development guarantee phase 1
19640218-2674,-AS-20250006,124,Job and development guarantee phase 2
19780806-7201,-AS-20250007,123,Job and development guarantee phase 1
20041007-7227,-AS-20250008,130,Rehabilitation programme
19970325-6977,-AS-20250009,122,Youth job guarantee
20040331-5010,-AS-20250010,122,Youth job guarantee
20030612-1916,-AS-20250011,124,Job and development guarantee phase 2
19650812-6155,-AS-20250012,124,Job and development guarantee phase 2
19630526-8517,-AS-20250013,122,Youth job guarantee
19720601-9830,-AS-20250014,130,Rehabilitation programme
19941211-7543,-AS-20250015,130,Rehabilitation programme
19780419-2040,-AS-20250016,123,Job and development guarantee phase 1
19640217-6573,-AS-20250017,124,Job and development guarantee phase 2
19851202-8433,-AS-20250018,130,Rehabilitation programme
19660227-4258,-AS-20250019,40,Work placement
20050403-6038,-AS-20250020,123,Job and development guarantee phase 1
19791121-2290,-AS-20250021,123,Job and development guarantee phase 1
19910919-3060,-AS-20250022,122,Youth job guarantee
19981011-3705,-AS-20250023,124,Job and development guarantee phase 2
