personal_id,case_id,opened_date,active,rejected,benefit_group_code
20000421-1234,-AS-20250000,2025-09-01,0,0,FK:AS
19910116-2824,-AS-20250001,2025-09-01,0,0,FK:AS
19670118-4657,-AS-20250002,2025-09-01,0,0,FK:AS
19640710-9935,-AS-20250003,2025-09-01,0,0,FK:AS
19710709-1488,-AS-20250004,2025-07-01,0,0,FK:AS
19950518-3547,-AS-20250005,2025-01-01,0,0,FK:AS
19640218-2674,-AS-20250006,2025-01-01,0,0,FK:AS
19780806-7201,-AS-20250007,2025-07-01,0,0,FK:AS
20041007-7227,-AS-20250008,2025-04-01,0,0,FK:AS
19970325-6977,-AS-20250009,2025-09-01,0,0,FK:AS
20040331-5010,-AS-20250010,2025-07-01,0,0,FK:AS
20030612-1916,-AS-20250011,2025-01-01,0,0,FK:AS
19650812-6155,-AS-20250012,2025-01-01,0,0,FK:AS
19630526-8517,-AS-20250013,2025-09-01,0,0,FK:AS
19720601-9830,-AS-20250014,2025-09-01,0,0,FK:AS
19941211-7543,-AS-20250015,2025-01-01,0,0,FK:AS
19780419-2040,-AS-20250016,2025-04-01,0,0,FK:AS
19640217-6573,-AS-20250017,2025-09-01,0,0,FK:AS
19851202-8433,-AS-20250018,2025-09-01,0,0,FK:AS
19660227-4258,-AS-20250019,2025-09-01,0,0,FK:AS
20050403-6038,-AS-20250020,2025-01-01,0,0,FK:AS
19791121-2290,-AS-20250021,2025-01-01,0,0,FK:AS
19910919-3060,-AS-20250022,2025-04-01,0,0,FK:AS
19981011-3705,-AS-20250023,2025-01-01,0,0,FK:AS
