personal_id,case_id,benefit_type,periodicity,periodicity_label,gross_amount_sek,coordinated_gross_amount_sek,scope_pct,decision_from,decision_to,waiting_period
20000421-1234,-AS-20250000,Activity support,1,Monthly,36400,36400,100,2025-09-01,2025-12-31,None
19910116-2824,-AS-20250001,Activity support,1,Monthly,39118,39118,50,2025-09-01,2025-11-30,None
19670118-4657,-AS-20250002,Activity support,1,Monthly,48473,48473,75,2025-09-01,2026-02-28,None
19640710-9935,-AS-20250003,Activity support,1,Monthly,46952,46952,100,2025-09-01,2025-11-30,None
19710709-1488,-AS-20250004,Activity support,1,Monthly,46977,46977,50,2025-07-01,2025-09-29,None
19950518-3547,-AS-20250005,Activity support,1,Monthly,32005,32005,100,2025-01-01,2025-04-01,None
19640218-2674,-AS-20250006,Activity support,1,Monthly,51500,51500,50,2025-01-01,2025-05-01,None
19780806-7201,-AS-20250007,Activity support,1,Monthly,49010,49010,100,2025-07-01,2025-12-28,None
20041007-7227,-AS-20250008,Activity support,1,Monthly,29120,29120,100,2025-04-01,2025-09-28,None
19970325-6977,-AS-20250009,Activity support,1,Monthly,23557,23557,100,2025-09-01,2025-11-30,None
20040331-5010,-AS-20250010,Activity support,1,Monthly,36598,36598,75,2025-07-01,2025-10-29,None
20030612-1916,-AS-20250011,Activity support,1,Monthly,51780,51780,50,2025-01-01,2025-04-01,None
19650812-6155,-AS-20250012,Activity support,1,Monthly,39966,39966,100,2025-01-01,2025-04-01,None
19630526-8517,-AS-20250013,Activity support,1,Monthly,24120,24120,100,2025-09-01,2025-11-30,None
19720601-9830,-AS-20250014,Activity support,1,Monthly,33392,33392,75,2025-09-01,2025-11-30,None
19941211-7543,-AS-20250015,Activity support,1,Monthly,38343,38343,100,2025-01-01,2025-04-01,None
19780419-2040,-AS-20250016,Activity support,1,Monthly,32722,32722,75,2025-04-01,2025-07-30,None
19640217-6573,-AS-20250017,Activity support,1,Monthly,31050,31050,75,2025-09-01,2025-11-30,None
19851202-8433,-AS-20250018,Activity support,1,Monthly,27656,27656,75,2025-09-01,2025-12-30,None
19660227-4258,-AS-20250019,Activity support,1,Monthly,19600,19600,75,2025-09-01,2025-11-30,None
20050403-6038,-AS-20250020,Activity support,1,Monthly,21028,21028,50,2025-01-01,2025-06-30,None
19791121-2290,-AS-20250021,Activity support,1,Monthly,34046,34046,50,2025-01-01,2025-04-01,None
19910919-3060,-AS-20250022,Activity support,1,Monthly,49138,49138,100,2025-04-01,2025-06-30,None
19981011-3705,-AS-20250023,Activity support,1,Monthly,22772,22772,75,2025-01-01,2025-06-30,None
