personal_id,applied_from,applied_to,applied_scope_pct,loan_applied
20000421-1234,20260413,20260627,50,J
19910112-2824,20260421,20260908,50,J
19670114-4657,20260826,20261216,75, 
19710705-1488,20260117,20260606,50,J
19800816-5557,20260127,20260519,100,J
19860129-2674,20260823,20261220,100,J
20010524-7201,20260122,20260416,75, 
20020528-2169,20260424,20260828,75, 
19880507-1916,20260126,20260525,75, 
19841018-6168,20260128,20260617,75, 
19630522-8517,20260818,20261124,75,J
19740605-3266,20260819,20261118,75, 
20020519-1771,20260423,20260709,100,J
19650916-1188,20260121,20260415,50,J
19860322-6038,20260121,20260513,75, 
