personal_id,amount_type_code,amount_type_label,amount_per_week_sek,total_amount_sek
20000421-1234,GRUNDB,Grant,978,10758
20000421-1234,GRUNDL,Loan,721,7931
19910112-2824,GRUNDB,Grant,1051,21012
19910112-2824,GRUNDL,Loan,700,14008
19670114-4657,GRUNDB,Grant,616,9859
19670114-4657,GRUNDL,Loan,411,6573
19710705-1488,GRUNDB,Grant,794,15876
19710705-1488,GRUNDL,Loan,529,10584
19800816-5557,GRUNDB,Grant,1056,16896
19800816-5557,GRUNDL,Loan,704,11264
19860129-2674,GRUNDB,Grant,1018,17309
19860129-2674,GRUNDL,Loan,679,11540
20010524-7201,GRUNDB,Grant,564,6768
20010524-7201,GRUNDL,Loan,376,4512
20020528-2169,GRUNDB,Grant,1007,18133
20020528-2169,GRUNDL,Loan,672,12089
19880507-1916,GRUNDB,Grant,1126,19135
19880507-1916,GRUNDL,Loan,750,12757
19841018-6168,GRUNDB,Grant,547,10944
19841018-6168,GRUNDL,Loan,365,7296
19630522-8517,GRUNDB,Grant,972,13608
19630522-8517,GRUNDL,Loan,648,9072
19740605-3266,GRUNDB,Grant,907,11786
19740605-3266,GRUNDL,Loan,604,7857
20020519-1771,GRUNDB,Grant,1019,11207
20020519-1771,GRUNDL,Loan,679,7471
19650916-1188,GRUNDB,Grant,1055,12658
19650916-1188,GRUNDL,Loan,703,8438
19860322-6038,GRUNDB,Grant,811,12970
19860322-6038,GRUNDL,Loan,540,8646
