personal_id,case_id,opened_date,active,rejected,benefit_group_code
20000421-1234,-AS-20250000,2025-09-01,0,0,FK:AS
19910112-2824,-AS-20250001,2025-09-01,0,0,FK:AS
19670114-4657,-AS-20250002,2025-09-01,0,0,FK:AS
19640706-9935,-AS-20250003,2025-09-01,0,0,FK:AS
19710705-1488,-AS-20250004,2025-07-01,0,0,FK:AS
19761106-3547,-AS-20250005,2025-01-01,0,0,FK:AS
19860129-2674,-AS-20250006,2025-01-01,0,0,FK:AS
20010524-7201,-AS-20250007,2025-07-01,0,0,FK:AS
20041003-7227,-AS-20250008,2025-04-01,0,0,FK:AS
19970802-6977,-AS-20250009,2025-09-01,0,0,FK:AS
20021021-5010,-AS-20250010,2025-07-01,0,0,FK:AS
19880507-1916,-AS-20250011,2025-01-01,0,0,FK:AS
19670904-6155,-AS-20250012,2025-01-01,0,0,FK:AS
19630522-8517,-AS-20250013,2025-09-01,0,0,FK:AS
19720528-9830,-AS-20250014,2025-09-01,0,0,FK:AS
20021023-7543,-AS-20250015,2025-01-01,0,0,FK:AS
19910104-2040,-AS-20250016,2025-04-01,0,0,FK:AS
19640213-6573,-AS-20250017,2025-09-01,0,0,FK:AS
19851128-8433,-AS-20250018,2025-09-01,0,0,FK:AS
19660223-4258,-AS-20250019,2025-09-01,0,0,FK:AS
19860322-6038,-AS-20250020,2025-01-01,0,0,FK:AS
19791117-2290,-AS-20250021,2025-01-01,0,0,FK:AS
19910915-3060,-AS-20250022,2025-04-01,0,0,FK:AS
19981007-3705,-AS-20250023,2025-01-01,0,0,FK:AS
